
230,67 297,67 297,231 230,231 
343,67 410,67 410,231 343,231 
460,67 527,67 527,231 460,231 
663,67 730,67 730,231 663,231 
777,67 844,67 844,231 777,231 
891,67 958,67 958,231 891,231 
1113,67 1180,67 1180,231 1113,231 
1229,67 1296,67 1296,231 1229,231 
1343,67 1410,67 1410,231 1343,231 
1550,67 1617,67 1617,231 1550,231 
1667,67 1734,67 1734,231 1667,231 
1782,67 1849,67 1849,231 1782,231 
230,319 297,319 297,483 230,483 
343,319 410,319 410,483 343,483 
460,319 527,319 527,483 460,483 
663,319 730,319 730,483 663,483 
777,319 844,319 844,483 777,483 
891,319 958,319 958,483 891,483 
1113,319 1180,319 1180,483 1113,483 
1229,319 1296,319 1296,483 1229,483 
1343,319 1410,319 1410,483 1343,483 
1550,319 1617,319 1617,483 1550,483 
1667,319 1734,319 1734,483 1667,483 
1782,319 1849,319 1849,483 1782,483 
230,567 297,567 297,731 230,731 
343,567 410,567 410,731 343,731 
460,567 527,567 527,731 460,731 
663,567 730,567 730,731 663,731 
777,567 844,567 844,731 777,731 
891,567 958,567 958,731 891,731 
1113,567 1180,567 1180,731 1113,731 
1229,567 1296,567 1296,731 1229,731 
1343,567 1410,567 1410,731 1343,731 
1550,567 1617,567 1617,731 1550,731 
1667,567 1734,567 1734,731 1667,731 
1782,567 1849,567 1849,731 1782,731
